Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.554279875,0.010225122,-7.311356698,-0.012298449,7.311374191
3.564300875,0.002876615,-7.039849425,-0.038338439,7.039954406
3.574322875,-0.072480217,-6.625247337,-0.071561149,6.626030233
3.584343875,-0.107972985,-6.173554021,-0.066612065,6.174857454
3.594365875,-0.217763906,-5.501551067,-0.041749704,5.506017463
3.604386875,-0.174060683,-4.930310258,-0.011509075,4.933395263
3.614408875,0.003967624,-4.267555553,0.069921005,4.268130163
3.624429875,0.123659356,-3.480617682,0.02651303,3.482914588
3.634451875,0.078610397,-2.720933684,0.06781016,2.722913499
3.644472875,0.075270408,-1.857004355,0.017651575,1.858613028
3.654495208,-0.026432649,-1.011536587,-0.050326985,1.013132645
3.664516208,-0.116479825,-0.160003684,-0.022497162,0.199185469
3.674538208,-0.225187202,0.793604501,0.010891609,0.82500667
3.684559208,-0.358381329,1.60389944,0.007310774,1.643467078
3.694581208,-0.083102008,2.430675706,0.043832483,2.432490826
3.704603208,0.451330387,3.284205616,0.043265887,3.31535482
3.714624208,0.354705916,3.956940933,0.07067588,3.973435907
3.724645208,-0.15656057,4.671500798,0.107371836,4.675356632
3.734667208,-0.092877831,5.348346416,0.128477946,5.350695493
3.744688208,0.180558347,6.04041409,0.132963345,6.04457467
3.754710208,-0.080336321,6.57541678,0.095546427,6.576601621
3.764731208,-0.063613764,6.891658176,0.130108734,6.893179775
3.774753208,0.248813059,7.261879313,0.04343955,7.266270439
3.784775208,0.149474859,7.473539749,0.103472328,7.475750506
3.794796208,-0.096669075,7.642997906,0.091639903,7.644158539
3.804818208,-0.107171533,7.692634335,0.134898773,7.694563433
3.814839208,0.184651251,7.540847633,0.12666414,7.544171453
3.824861208,0.164104209,7.425040603,0.060359638,7.427099127
3.834882208,-0.098090076,7.180254521,0.117241352,7.181881522
3.844904208,-0.0722635,6.833829798,0.058712477,6.834464052
3.854925208,0.074467918,6.453577178,0.138180816,6.455485869
3.864947208,0.148661338,5.933769647,0.06692723,5.936008901
3.874968208,0.015990125,5.374095215,0.134574838,5.375803702
3.884990208,-0.013379023,4.725871133,0.084701596,4.726649059
3.895011208,0.019616545,4.017012595,0.116560736,4.018751224
3.905033208,0.00756521,3.298865755,0.066249538,3.299539589
3.915054208,0.077536455,2.58190853,0.022363261,2.583169308
3.925076208,0.224657974,1.772025747,0.036877804,1.786590727
3.935097208,0.208854247,0.958939639,-0.049931713,0.982689424
3.945119208,0.058962199,0.135887684,0.011001536,0.148536316
3.955140208,-0.269120622,-0.720674299,-0.04766124,0.770758684
3.965162208,-0.44121094,-1.599547942,0.022551541,1.659436435
3.975183208,-0.260866327,-2.408019207,0.023154974,2.422218796
3.985205208,-0.006203603,-3.176667718,0.078985943,3.177655591
3.995226208,0.035697562,-3.871392075,-0.03251812,3.871693213
4.005248208,0.049833466,-4.583194978,0.03317067,4.583585919
4.015269208,0.123355557,-5.241688524,-0.019969996,5.243177851
4.025291208,0.028444379,-5.870488155,-0.044526547,5.870725924
4.035312208,0.03495651,-6.36543508,-0.041845014,6.3656686
4.045334208,-0.15312957,-6.964015716,-0.048441258,6.965867506
4.055355208,-0.153343651,-7.228418621,-0.046197097,7.230192543
4.065377208,-0.184347982,-7.585875871,-0.061322674,7.588363287
4.075398208,-0.245174575,-7.653139316,-0.043364705,7.657188287
4.085420208,-0.192856503,-7.549593313,-0.062229577,7.552312583
4.095441208,-0.145713948,-7.288097643,-0.044414865,7.289689465
4.105463208,0.04154317,-7.141934209,-0.041713452,7.142176845
4.115484208,0.002287426,-6.942844702,-0.05832773,6.943090084
4.125506208,-0.031980615,-6.654179944,-0.044244711,6.654403887
4.135527208,-0.175526945,-6.207616391,-0.044379782,6.210256076
4.145549208,-0.220552662,-5.725683614,-0.01293638,5.729944474
4.155570208,-0.129582302,-5.096008655,-0.026692539,5.097725794
4.165592208,0.053265494,-4.523738443,0.032733883,4.524170446
4.175613208,0.20839747,-3.805745969,-0.023232742,3.811518286
4.185635208,0.117287307,-3.101660221,-0.027438059,3.103998274
4.195656208,-0.004963098,-2.414885154,0.092459098,2.4166596
4.205678208,-0.127052523,-1.511827135,0.037353183,1.517616187
4.215699208,-0.275210625,-0.74657688,0.000665998,0.795687357
4.225721208,-0.321225745,0.024358377,0.005743135,0.322199152
4.235742208,-0.083672304,0.919131284,-0.00307739,0.922937073
4.245764208,-0.110862149,1.70991516,-0.043186365,1.714049397
4.255785208,0.272946382,2.452379694,0.08166046,2.468873087
4.265807208,0.378601293,3.230808257,0.053989096,3.253363761
4.275828208,-0.069074629,3.890647833,0.102054378,3.892598998
4.285850208,-0.201028188,4.545311453,0.092032835,4.550685506
4.295871208,0.208032549,5.198619688,0.106557904,5.203871519
4.305893208,0.168814232,5.68316734,0.101163847,5.686573958
4.315914208,-0.097920973,6.172754706,0.070040288,6.173928638
4.325936208,-0.158077081,6.585811375,0.070930819,6.588090089
4.335957208,0.080041092,7.036303673,0.128861523,7.037938708
4.345979208,0.208941243,7.074947922,0.094728402,7.0786664
4.356000208,0.03086392,7.254870256,0.103409178,7.255672847
